defense,paper,year_venue_status,model_sizes,safeguard_target,threat_model,attacks_evaluated,adaptive_attacker,utility_loss,defender_compute,attacker_compute,model_families,open_source_code,heretic_or_abliteration_tested,malicious_ft_tested,generalization_across_attacks,strongest_result,weakest_result,known_failure,evaluation_concern,claimed_universality,actual_supported_scope,evidence_strength,independent_evidence_provenance,source
"Representation Noising (RepNoise)","Representation Noising: A Defence Mechanism Against Harmful Finetuning","NeurIPS 2024","OPT-1.3B; Llama2-7B; later re-evals","refusal / harmful-representation suppression","attacker fine-tunes released weights","harmful FT; benign FT; later adaptive re-evaluation","limited in original; yes in Qi et al. re-eval","original reports no broad capability degradation",">2x alignment time and >1.7x memory in later system comparison; exact portable FLOPs NR","steps/data vary by protocol","OPT; Llama","yes","not in original","yes","same-distribution held-out harms","depth-wise noising improved original harmful-FT resistance","cross-distribution and stronger implementations weaker","minor trainer/randomness changes substantially reduce durability","original and re-evaluation protocols diverge","defense against harmful fine-tuning","bounded resistance to selected FT distributions; not direct edits/prefill","mixed / independently challenged","Qi et al. ICLR 2025 durability audit; TamperBench 2026 benchmark","https://proceedings.neurips.cc/paper_files/paper/2024/hash/172be8b0b88fc2b4aee74237d43f8c04-Abstract-Conference.html"
"Vaccine","Perturbation-aware Alignment for LLMs against Harmful Fine-tuning Attack","NeurIPS 2024","OPT-2.7B; Llama2-7B; Vicuna-7B","refusal retention during provider fine-tuning","alignment-stage hidden-state perturbations; fine-tuning-as-a-service","harmful/benign downstream FT","no defense-aware full-weight attacker","task-dependent; generally small in paper","~2x step time; +~0.11 GB in reported A100 setup","NR in normalized FLOPs","OPT; Llama; Vicuna","yes","no","yes","across four downstream tasks","reduced harmful score while retaining task accuracy","robustness tied to tested FT recipe","attacker can omit protected trainer after open release","service-control and weak adaptive coverage","robust fine-tuning alignment","provider-controlled or matched FT; not unrestricted open-weight integrity","author-only archival","No independent defense-specific validation identified; TamperBench includes adjacent T-Vaccine","https://proceedings.neurips.cc/paper_files/paper/2024/hash/873c86d9a979ab80d8e2919510d4446b-Abstract-Conference.html"
"Lisa","Lazy Safety Alignment for LLMs against Harmful Fine-tuning Attack","NeurIPS 2024","Llama2-class 7B and related","safety during customized fine-tuning","defender controls alternating safety/user-data optimizer","harmful mixed-data FT on four tasks","no","small/task-dependent","extra alternating optimization; exact portable FLOPs NR","NR","Llama-family","yes","no","yes","task/dataset transfer","proximal bi-state optimization stabilizes alignment","cannot constrain attacker-controlled training","procedure can simply be disabled on public weights","wrong scope for unconditional open release","safe customization","fine-tuning service defense only","author-only archival","No independent validation identified","https://proceedings.neurips.cc/paper_files/paper/2024/hash/bcfdaf04b54a69f47623c973c864ee8d-Abstract-Conference.html"
"SafeLoRA","Safe LoRA: The Silver Lining of Reducing Safety Risks when Finetuning LLMs","NeurIPS 2024","Llama2-class models","safe PEFT adaptation","project LoRA deltas into base-to-aligned safety subspace","benign; mixed; purely malicious LoRA","no unrestricted attacker","small/task-dependent","training-free/data-free projection after two checkpoints","LoRA training budget","Llama-family","yes","no","LoRA malicious FT only","across several fine-tuning datasets","one-line projection retained safety under tested LoRA","does not govern full FT or arbitrary edits","attacker can skip projection","requires base/aligned pair and LoRA-only assumption","safe LoRA fine-tuning","controlled PEFT pipeline","author-only archival","No independent validation identified","https://proceedings.neurips.cc/paper_files/paper/2024/hash/77baa7c2a3a675823e89131698fd6e19-Abstract-Conference.html"
"Circuit Breakers / RR","Improving Alignment and Robustness with Circuit Breakers","NeurIPS 2024","Llama3-8B; multimodal models; agents","harmful-output trajectory rerouting","input and latent attacks under fixed weights","GCG; PAIR; embedding/latent; multimodal hijacks","partly; independent attack adaptation exists","reported minimal broad utility loss","LoRA-style retrofit; exact normalized cost NR","input/embedding optimization","Llama; multimodal backbones","yes","later TamperBench refusal ablation","not core","reported unseen input/latent transfer","broad original multimodal/agent transfer","adaptive embedding attack reached 100% ASR in independent report","embedding attack implementation changes defeat model","original latent evaluation underestimated attack","broad harmful-output robustness","input/latent robustness under original suite; not durable weight defense","archival claim / independently challenged","Schwinn and Geisler 2024 independent adaptive embedding-attack reevaluation","https://proceedings.neurips.cc/paper_files/paper/2024/hash/97ca7168c2c333df5ea61ece3b3276e1-Abstract-Conference.html"
"TAR","Tamper-Resistant Safeguards for Open-Weight LLMs","ICLR 2025","Llama3-8B primarily","refusal and bio/cyber capability safeguards","attacker full-parameter fine-tunes released model","many FT datasets/schedules; later independent re-eval and TamperBench","inner-loop adaptive proxy; later external adaptive tests","utility retained in original bounded setup; trade-offs in re-eval","official code recommends 8xA100-80GB for 8B; full-parameter first-order meta-learning","hundreds/thousands of FT steps depending experiment","Llama3","yes","later simple-attack and TamperBench variants","yes","across original bio/cyber attack settings","materially increased cost of tested FT attacks","sensitive to shuffle/trainer/schedule/template; still breached","adaptive variants reverse some original conclusions","found-attack cost is an upper bound; expensive and model-limited","tamper-resistant open-weight safeguard","bounded increase against selected FT families","strong archival / independently challenged","Qi et al. ICLR 2025 durability audit; TamperBench 2026 benchmark","https://proceedings.iclr.cc/paper_files/paper/2025/hash/fc49a629d33bc2461ed7a715ce44da68-Abstract-Conference.html"
"Booster","Tackling Harmful Fine-tuning via Attenuating Harmful Perturbation","ICLR 2025","OPT/Llama/Vicuna-class; later 3B-12B comparisons","refusal under harmful FT","simulate weight perturbation during alignment","harmful FT with hyperparameter variants","limited","small/task-dependent","multiple forward/backward passes; ~3.15h and 82.5GB for Gemma-3-12B in AntiDote paper's setup","NR normalized","OPT; Llama; Vicuna; later Gemma/Qwen","yes","no","yes","datasets/models","stronger than standard alignment in paper","some contextual dilution attacks beat it/AntiDote differently","not evaluated against full direct-edit/inference suite","mostly author-side and FT-centric","harmful-FT robustness","selected FT robustness","author-only archival","TamperBench 2026 implementation and benchmark; no separate replication identified","https://proceedings.iclr.cc/paper_files/paper/2025/hash/a7ac8a21e5a27e7ab31a5f42a0117bdb-Abstract-Conference.html"
"Antidote (post-FT pruning)","Antidote: Post-fine-tuning Safety Alignment for LLMs against Harmful Fine-tuning Attack","ICML 2025","Llama2-7B; Mistral-7B; Gemma-7B","repair safety after harmful FT","defender controls one-shot post-FT pruning","harmful FT over learning rates/epochs","attacker training varied; defender still controls repair","small/task-dependent","reported 1.02x pipeline time and same peak memory in setup","attacker FT not cost-normalized","Llama; Mistral; Gemma","yes","no","yes","model and hyperparameter transfer","simple Wanda-based pruning repairs tested models","not persistent if attacker owns final weights","attacker can skip or undo repair","post-hoc service assumption; safety judge dependence","hyperparameter-agnostic repair","post-FT repair in controlled pipeline","author-only archival","No independent validation identified","https://proceedings.mlr.press/v267/huang25b.html"
"SDD","Self-Degraded Defense against Malicious Fine-tuning","ACL 2025","7B-class models","couple malicious learning to utility collapse","open-weight malicious FT under utility requirement","full/LoRA harmful FT in paper","limited defense-aware search","designed to preserve clean utility and destroy attacked utility","NR normalized","FT steps/data varied","Llama-family and peers","yes","no","yes","model/data variants","turns high-intensity attack into unusable model","utility collapse is only useful if unavoidable","adaptive objective/layer or utility-repair attack not ruled out","must score actual attacker utility frontier","malicious-FT defense","selected FT under specified utility metric","author-only archival","TamperBench 2026 implementation and benchmark; no separate replication identified","https://aclanthology.org/2025.acl-long.1412/"
"DeepRefusal","Beyond Surface Alignment: Rebuilding LLMs Safety Mechanism via PAA","Findings EMNLP 2025","Llama3-8B; Llama2-7B; Mistral-7B; Gemma-7B","refusal reconstruction across layer/token depth","prompt/prefill/activation attacks; fixed weights","manual; GCG; AutoDAN; PAIR; prefill; refusal-direction transfer","held-out attacks, but not weight-FT adaptive attacker","minimal reported capability degradation; over-refusal data required","1 A100-80GB; ~45 min; one epoch LoRA per model","prompt/activation attack iterations; FT attack excluded","Llama; Mistral; Gemma","yes","yes: refusal direction activation attack","explicitly no","yes across several input attacks","~95% average ASR reduction reported","fine-tuning attacks explicitly out of scope","depends on extracted refusal direction; attacker controls inference","author evaluation; direction-family overlap","robust internal refusal reconstruction","input/prefill/direction robustness, not open-weight FT durability","archival findings / no independent broad re-eval","No independent broad validation identified","https://aclanthology.org/2025.findings-emnlp.956/"
