paper,authors,date,venue/status,problem,method,central result,security endpoint,relation to us,collision risk,confidence,source
"Refusal in Language Models Is Mediated by a Single Direction","Arditi et al.","2024-12","NeurIPS 2024 main conference","Whether refusal has a compact causal representation","Difference-in-means direction; activation addition/ablation; rank-one weight edit","A single direction causally controls refusal across many aligned models","Refusal suppression with limited broad capability damage","Foundation for carrier and abliteration assumptions","HIGH","high","https://proceedings.neurips.cc/paper_files/paper/2024/hash/f545448535dfde4f9786555403ab7c49-Abstract-Conference.html"
"The Geometry of Refusal in Large Language Models: Concept Cones and Representational Independence","Wollschläger et al.","2025-07","ICML 2025 main conference","Whether one direction adequately describes refusal","Concept cones; optimized multiple directions; intervention independence","Refusal admits multiple causally effective directions and orthogonality is not functional independence","Activation-level jailbreak/refusal control","Direct collision with multidimensional carriers and independence language","FATAL for broad geometry claim; HIGH otherwise","high","https://proceedings.mlr.press/v267/wollschlager25a.html"
"Understanding Refusal in Language Models with Sparse Autoencoders","Yeo et al.","2025-05","arXiv preprint","Which sparse features mediate refusal","SAE feature identification and causal intervention","Sparse refusal features form upstream/downstream relations and improve OOD probes","Activation-level refusal manipulation","Precursor to minimal feature-set and writer analyses","HIGH","high","https://arxiv.org/abs/2505.23556"
"Beyond I’m Sorry, I Can’t: Dissecting Large-Language-Model Refusal","Prakash et al.","2026-03","AAAI 2026 main conference — AI Alignment special track","Which interacting SAE features causally produce refusal","Direction-seeded SAE search; greedy minimal set; factorization-machine interactions","A minimal causal feature set flips refusal and dormant redundant features emerge after suppression","Activation-level jailbreak","Near-direct collision with writer-cut, backups and interaction search","FATAL for minimal-set/backup novelty","high","https://ojs.aaai.org/index.php/AAAI/article/view/41119"
"SOM Directions Are Better than One","Piras et al.","2026-03","AAAI 2026 main conference","Whether multiple refusal directions improve suppression","Self-organizing maps extract a set of directions","Multi-direction ablation outperforms the single-direction baseline and several jailbreaks","Activation-level refusal suppression","Collides with multidirectional attack and low-dimensional manifold story","HIGH","high","https://ojs.aaai.org/index.php/AAAI/article/view/40551"
"There Is More to Refusal in Large Language Models than a Single Direction","Joad et al.","2026-02","arXiv preprint","Whether refusal categories share one geometry and one control","Compare directions across eleven refusal/non-compliance categories and steer each","Directions are geometrically distinct but steering acts like a shared one-dimensional refusal/over-refusal knob","Activation-level behavioral control","Natural counterexample: representational diversity with common functional control","HIGH","high","https://arxiv.org/abs/2602.02132"
"Refusal Geometry Reflects Refusal Training","Labunets","2026-09","arXiv preprint v2","Why refusal geometry becomes low rank","Checkpoint and controlled synthetic fine-tuning; gradient/activation stable rank","Repetitive refusal starts concentrate gradients; diverse starts raise rank and weaken vector ablation","Fixed activation ablation","Directly occupies training signal → gradient geometry → ablation robustness","FATAL for broad training-to-geometry claim","high","https://arxiv.org/abs/2608.25390"
"Refusal Direction is Universal Across Safety-Aligned Languages","Wang et al.","2025-12","NeurIPS 2025 main conference","Whether refusal directions transfer across languages","Fourteen-language contrastive directions and cross-language ablation","Directions transfer nearly universally across aligned languages","Cross-lingual activation jailbreak","Evidence for a shared control mode across semantic diversity","MEDIUM","high","https://proceedings.neurips.cc/paper_files/paper/2025/hash/2e94772e3c079d83f79c311d07456111-Abstract-Conference.html"
"LLMs Encode Harmfulness and Refusal Separately","Zhao et al.","2025-12","NeurIPS 2025 main conference","Whether recognizing harm and refusing are the same mechanism","Position-aware directions; causal steering and reversal tests","Harmfulness and refusal are causally separable; harmfulness often survives jailbreak/fine-tuning","Latent guard robust to tested fine-tuning and jailbreaks","Requires carrier construct to separate recognition from action","FATAL for recognition/action novelty","high","https://proceedings.neurips.cc/paper_files/paper/2025/hash/cd18539787d90e1d682d557c2c71b534-Abstract-Conference.html"
"Towards Understanding Safety Alignment: A Mechanistic Perspective from Safety Neurons","Chen et al.","2025-12","NeurIPS 2025 main conference","Which neurons mediate safety alignment","Activation contrasting and dynamic patching","About 5% of neurons can restore most safety and overlap with helpfulness neurons","Safety restoration and pre-generation detection","Collides with canonical safety-writer localization","HIGH","high","https://proceedings.neurips.cc/paper_files/paper/2025/hash/12a00d85a76fe258e1242c3aced03250-Abstract-Conference.html"
"Finding and Reactivating Post-Trained LLMs’ Hidden Safety Mechanisms","Li et al.","2025-12","NeurIPS 2025 main conference","Why post-training can degrade safety","Representation analysis; pruning overactive capability mechanisms; LoRA reactivation","Post-training often masks rather than deletes prior safety mechanisms","Restored safety under harmful prompts while retaining reasoning/domain utility","Supports accessibility/masking rather than carrier-count explanations","HIGH","high","https://proceedings.neurips.cc/paper_files/paper/2025/hash/4568accb98552886fdfceb194deee663-Abstract-Conference.html"
"Knowing without Acting: The Disentangled Geometry of Safety Mechanisms in Large Language Models","Wu et al.","2026-03","arXiv preprint","Whether harm recognition and refusal execution dissociate through depth","Double-difference extraction and adaptive causal steering","Recognition and execution axes dissociate and enable a refusal-erasure attack","Activation-level refusal erasure","Direct collision with H→policy→execution story","FATAL for decomposition novelty","high","https://arxiv.org/abs/2603.05773"
"From Refusal Geometry to Safety Geometry","Lan et al.","2026-06","arXiv preprint","How harmfulness/refusal coupling evolves under adversarial fine-tuning","Dual-geometry diagnostics over SFT/R2D2 trajectories and interventions","Coupling is informative only in some regimes; low coupling alone is not a safety guarantee","Fixed-source/limited transfer attack behavior","Strong warning against geometry metric as universal security proxy","HIGH","high","https://arxiv.org/abs/2606.16349"
"HARC: Coupling Harmfulness and Refusal Directions for Robust Safety Alignment","Chua and Wu","2026-07","arXiv preprint","Whether coupling recognition to action improves safety","Prompt- and response-position coupling losses with LoRA","Coupling directions improves tested robustness–capability–over-refusal trade-off","Input jailbreak robustness","Direct defense collision for recognition/action coupling","FATAL for coupling-defense novelty","high","https://arxiv.org/abs/2607.00572"
"From Detection to Refusal: Safer LLMs via Circuit-Guided Weight Scaling","Chu et al.","2026-08","arXiv preprint v1","What circuit links harm detection to refusal","Head/neuron interventions and circuit-guided weight scaling","Detection heads feed safety neurons and refusal heads across six models","Input-attack safety with utility controls","Direct collision with writers/shared gate and scaling defense","HIGH","high","https://arxiv.org/abs/2609.00051"
"CRaFT: Circuit-Guided Refusal Feature Selection via Cross-Layer Transcoders","Kim et al.","2026-05","arXiv preprint v2","How to select causally relevant rather than merely active refusal features","Cross-layer transcoder circuit graph and path influence","Circuit influence identifies stronger refusal-mediating attack features than activation magnitude","Activation jailbreak","Collides with causal writer ranking and circuit path analysis","HIGH","high","https://arxiv.org/abs/2604.01604"
"Conditional Co-Ablation: Recovering Self-Repair Backups in Transformer Circuits","Gong et al.","2026-07","arXiv preprint","How to find dormant backup components hidden by self-repair","Conditional co-ablation after removing a primary set","Conditional scoring recovers backups and components needed for knockout","Capability knockout and pruning","Near-direct prior for backup discovery and conditional cut","FATAL for backup-reextraction novelty","high","https://arxiv.org/abs/2607.01940"
"Any-Depth Alignment","Zhang et al.","2026-04","ICLR 2026 main conference","Why safety fails after harmful continuation has started","Reinject assistant safety tokens at intermediate generation depths; probe/lookahead","Safety is front-loaded but can be re-triggered at arbitrary depth","Prefill/jailbreak defense during generation","Strong alternative temporal-safety view; limits static carrier story","HIGH","high","https://proceedings.iclr.cc/paper_files/paper/2026/hash/2bb0db7d7081037aada48aafbeae717d-Abstract-Conference.html"
"Beyond Surface Alignment: Rebuilding LLMs Safety Mechanism via Probabilistically Ablating Refusal Direction","Xie et al.","2025-11","Findings of EMNLP 2025","How to make refusal recover after internal disruption","Probabilistic refusal-direction ablation across layers/tokens during training","Models learn to rebuild refusal from attacked states and resist several unseen input/activation attacks","Jailbreak and refusal-direction attack robustness","Direct collision with writer-fault training and self-repair defense","FATAL for defense principle","high","https://aclanthology.org/2025.findings-emnlp.956/"
"Improving Alignment and Robustness with Circuit Breakers","Zou et al.","2024-12","NeurIPS 2024 main conference","How to stop harmful internal trajectories rather than memorize refusal strings","Representation rerouting/circuit breaking","Rerouting harmful states generalizes across multiple attack modalities","Input/representation attack robustness","Prior for fault training and representation-level defense","HIGH","high","https://proceedings.neurips.cc/paper_files/paper/2024/hash/97ca7168c2c333df5ea61ece3b3276e1-Abstract-Conference.html"
"Robust LLM Safeguarding via Refusal Feature Adversarial Training","Yu et al.","2025-03","arXiv preprint v2","Whether refusal-feature ablation approximates worst-case jailbreak pressure","Train against residual-stream refusal feature ablation","RFA is an effective attack surrogate and ReFAT improves robustness efficiently","Input jailbreak robustness","Direct prior for ablation-as-training-adversary defense","FATAL for broad defense principle","high","https://arxiv.org/abs/2409.20089"
"Tamper-Resistant Safeguards for Open-Weight LLMs","Tamirisa et al.","2025-04","ICLR 2025 main conference","Whether safeguards can resist adversarial weight updates","First-order meta-learning against inner-loop tampering","Tamper resistance can be materially increased within tested threats","Utility-constrained adversarial fine-tuning durability","Defines the target threat model and defense family","HIGH","high","https://proceedings.iclr.cc/paper_files/paper/2025/hash/fc49a629d33bc2461ed7a715ce44da68-Abstract-Conference.html"
