artifact_or_claim,immutable_source,sha_or_revision,file_or_location,configuration_or_value,known_gap
Fail-Closed paper,arXiv:2602.16977v1,2602.16977v1,Table 1 / Sections 4.1-4.5 / Appendices A-C,"arXiv preprint dated 2026-02-19",No conference acceptance established
Fail-Closed code,https://github.com/ztcoalson/Fail-Closed-Alignment,892e99b2db2c98f4ecd9b81e414088e15ae7f035,repository,"MIT code license; Python 3.10.19; PyTorch 2.5.1; CUDA 12.4 reported",No attack runner or selected-run manifest
Fail-Closed defended model,ztcoalson/gemma-2-2b-it-FC,03fb41ec87b9ba82c690b60331e5c60b67f6b106,Hugging Face repository,"2,614,341,888 BF16 parameters; 5,267,321,518 bytes",Model card does not specify weight license or bind artifact to training run
Fail-Closed shard 1,ztcoalson/gemma-2-2b-it-FC,03fb41ec87b9ba82c690b60331e5c60b67f6b106,model-00001-of-00002.safetensors,"LFS SHA256 f8c04818fc989cee6190f957df53a3b96da403098f3ba34f44f9b10836c6bc60; 4,988,025,760 bytes",None observed in public metadata
Fail-Closed shard 2,ztcoalson/gemma-2-2b-it-FC,03fb41ec87b9ba82c690b60331e5c60b67f6b106,model-00002-of-00002.safetensors,"LFS SHA256 92192c5f4aeeccff4ede054b9ad8ddca42b12d2d05155364e4f354b2ffa88d44; 240,691,728 bytes",None observed in public metadata
Fail-Closed tokenizer,ztcoalson/gemma-2-2b-it-FC,03fb41ec87b9ba82c690b60331e5c60b67f6b106,tokenizer.json,"LFS SHA256 ead5581f1d96925578a3ecbd853ca84805f548557c56cf49fade0c9c44ed708d; 34,363,027 bytes",None observed in public metadata
Base model,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,Hugging Face repository,"Gemma license; manually gated; same revision for tokenizer",Unauthenticated API does not expose base LFS SHA; verify and snapshot after licensed access before execution
HarmBench code/data,https://github.com/centerforaisafety/HarmBench,8e1604d1171fe8a48d8febecd22f600e462bdcdd,data/behavior_datasets/harmbench_behaviors_text_test.csv,"file SHA256 75d257b3e7428c52eb7b0154318f455af3e01b09a3794b5e2f3d36054f3c0e29",Not the authors' unpublished random 200-ID sample
HarmBench validation,https://github.com/centerforaisafety/HarmBench,8e1604d1171fe8a48d8febecd22f600e462bdcdd,data/behavior_datasets/harmbench_behaviors_text_val.csv,"file SHA256 7bfaaa5e2b9b95002c89e2d33c019f58e9e8496e2fc65d368f1eeb8179e69534",Deterministic IDs must be materialized before run
HarmBench judge,cais/HarmBench-Llama-2-13b-cls,bda705349d1144fa618770bea64d99ce54e3835b,Hugging Face repository,"MIT; official classifier",Human audit remains required at breach boundary
Fail-Closed benign prompts,Fail-Closed code repository,892e99b2db2c98f4ecd9b81e414088e15ae7f035,data/prompts/harmless_test.json,"1000 records; SHA256 50623948b9975f23077cd3f069a12ffedde59b9325d1c5c32327194f3721e497",Keyword compliance protocol must be versioned
Fail-Closed overrefusal prompts,Fail-Closed code repository,892e99b2db2c98f4ecd9b81e414088e15ae7f035,data/prompts/overrefusal_test.json,"50 records; SHA256 61053d6e6edfd265ab414e5527a643eedc91033ea9e956446342d95405ac5ca9",Small sample; report intervals
Base average prompt ASR,arXiv:2602.16977v1,2602.16977v1,Table 1 Gemma2-2B No Defense,54.8%,Exact evaluation prompt IDs/attack artifacts not released
Defended average prompt ASR,arXiv:2602.16977v1,2602.16977v1,Table 1 Gemma2-2B Ours,1.7%,Exact evaluation prompt IDs/attack artifacts not released
Base clean utility / compliance,arXiv:2602.16977v1,2602.16977v1,Table 1 Gemma2-2B No Defense,"61.2% six-task accuracy; 97.8% mean CR",lm-eval dataset fingerprints/generation manifest not released
Defended clean utility / compliance,arXiv:2602.16977v1,2602.16977v1,Table 1 Gemma2-2B Ours,"60.3% six-task accuracy; 92.6% mean CR",lm-eval dataset fingerprints/generation manifest not released
Base feature-ablation ASR,arXiv:2602.16977v1,2602.16977v1,Table 3 Gemma2-2B No Defense,"DIM 91.0%; RDO 93.0%; mean 92.0%",Generation seed/IDs not released
Defended feature-ablation ASR,arXiv:2602.16977v1,2602.16977v1,Table 3 Gemma2-2B Ours,"DIM 0.0%; RDO 1.5%; mean 0.8%",Generation seed/IDs not released
TamperBench substrate,https://github.com/criticalml-uw/TamperBench,ca4fadeaab00a72a2c0c87241aaf72807187b800,repository,MIT,Environment lock and local patches pending H1
AntiDote code,https://github.com/respailab/Antidote,6e12f6a24c6edfbbfe194d0d9d384e9f272dd6a9,repository,"AAAI 2026 implementation candidate",Exact replication cell frozen only if H1 executes successfully
Second-panel base,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,Hugging Face repository,"3,085,938,688 parameters; qwen-research license",License snapshot required before matched panel
